TransportationBuilding,,
 LincolnAvenueResidence Hall,,
 Art andDesign Building,,
Lincoln Hall,,
FoellingerAuditorium,,
Frame, JZaremba, T,,
 TalbotLaboratory,,
 FoodService Building,,
 Micro &NanotechnologyLab,,
 EnglishBuilding,,
Christie, MLai, J,,
 InstGov & PublicAffairs Bldg,,
 907 1/2W Nevada,,
 DavidKinley Hall,,
 NationalSoybeanRes Ctr,,
Huang, TStawiasz, K,,
 CeramicsBuilding,,
Woodard, J,,
Freer Hall,,
 Huff Hall,,
Beauchamp, TGargiulo, M,,
 SiebelCenter forComp Sci,,
 Electrical& ComputerEng Bldg,,
 ForeignLanguagesBuilding,,
 KrannertCenter forPerf Arts,,
 DigitalComputerLaboratory,,
 NaturalHistory Building,,
CoordinatedScience Lab,,
 Noble Hall,,
 MaterialsScience& Eng Bld,,
 ChildDevelopmentLaboratory,,
AgriculturalEngrSciences Bld,,
Stock Pavilion,,
ArchitectureBuilding,,
 StudentDining & ResProgram,,
Altgeld Hall,,
Huff Hall,,
 StockPavilion,,
 Burrill Hall,,
Chemical andLife Sci Lab,,
Nalla, S,,
Mumford Hall,,
ArchitectureAnnex,,
Weeks, K,,
AstronomyBuilding,,
 EverittLaboratory,,
 VetMed BasicSciences Bldg,,
Danville IL,,
Bevier Hall,,
Mechanical,,
 KrannertArt Museum,,
 Freer Hall,,
 GradSch of Lib &Info Science,,
 901W Oregon,,
 MusicBuilding,,
 ChristopherHall,,
 RogerAdamsLaboratory,,
Forman, G,,
 EducationBuilding,,
EngineeringHall,,
 LoomisLaboratory,,
Faivre, SShaw, R,,
 1207W Oregon,,
InternationalStudies Building,,
EngineeringBldg,,
 ChemistryAnnex,,
 Gregory Hall,,
Turner Hall,,
Davenport Hall,,
MechanicalEngineeringBldg,,
Agricultural,,
Newmark CivilEngineeringBldg,,
Favila, ITempel, D,,
 905W Nevada,,
Gregory Hall,,
 Weston Hall,,
 12031/2 W Nevada,,
 Illini Center,,
 ZhejiangUniversity,,
PsychologyBuilding,,
 NoyesLaboratory,,
AgriculturalBioprocess Lab,,
 BeckmanInstitute,,
Dragic, P,,
 AllenResidence Hall,,
Wohlers Hall,,
Krannert Centerfor Perf Arts,,
EducationBuilding,,
 Institutefor GenomicBiology,,
Observatory,,
 1010W Nevada,,
 ACES Lib,Info & Alum Ctr,,
 PlantSciencesLaboratory,,
 1205W Oregon,,
 1205W Nevada,,
 IlliniCenter,,
 505E Green,,
 AnimalSciencesLaboratory,,
 Illini Hall,,
ChemistryAnnex,,
 BusinessInstructionalFac,,
 Library,,
 MeatScienceLaboratory,,
Frank, MZhang, S,,
BeckmanInstitute,,
 OaktonCom Coll DesPlaines IL,,
 PsychologyBuilding,,
 GraingerEngineeringLibrary,,
 TempleHoyneBuell Hall,,
 PAR,,
Wassaja Hall,,
 Flagg Hall,,
 Armory,,
 JapanHouse,,
 HenryAdministrationBldg,,
EngrSciences Bld,,
